"H","V","E","low_bound","high_bound","method","reps","alpha","runtime","runtime_scaled","P","TP","FN","N","TN","FP"
10,10,0.1325,0.05,0.95,"M6",1000,1e-04,12.742,0.006371,1000,1,999,1000,1000,0
10,10,0.1325,0.05,0.95,"M6",1000,0.000162377673918872,12.445,0.0062225,1000,1,999,1000,1000,0
10,10,0.1325,0.05,0.95,"M6",1000,0.000263665089873036,12.618,0.006309,1000,1,999,1000,1000,0
10,10,0.1325,0.05,0.95,"M6",1000,0.00042813323987194,12.574,0.006287,1000,1,999,1000,1000,0
10,10,0.1325,0.05,0.95,"M6",1000,0.000695192796177561,12.584,0.006292,1000,5,995,1000,999,1
10,10,0.1325,0.05,0.95,"M6",1000,0.00112883789168469,12.62,0.00631,1000,1,999,1000,997,3
10,10,0.1325,0.05,0.95,"M6",1000,0.00183298071083244,12.632,0.006316,1000,4,996,1000,997,3
10,10,0.1325,0.05,0.95,"M6",1000,0.00297635144163132,12.569,0.0062845,1000,6,994,1000,995,5
10,10,0.1325,0.05,0.95,"M6",1000,0.00483293023857176,12.578,0.006289,1000,12,988,1000,994,6
10,10,0.1325,0.05,0.95,"M6",1000,0.00784759970351462,12.57,0.006285,1000,18,982,1000,992,8
10,10,0.1325,0.05,0.95,"M6",1000,0.0127427498570313,12.579,0.0062895,1000,30,970,1000,990,10
10,10,0.1325,0.05,0.95,"M6",1000,0.0206913808111479,12.547,0.0062735,1000,40,960,1000,983,17
10,10,0.1325,0.05,0.95,"M6",1000,0.0335981828628378,12.521,0.00626050000000001,1000,54,946,1000,953,47
10,10,0.1325,0.05,0.95,"M6",1000,0.0545559478116852,12.512,0.006256,1000,93,907,1000,947,53
10,10,0.1325,0.05,0.95,"M6",1000,0.0885866790410083,12.588,0.00629400000000001,1000,130,870,1000,915,85
10,10,0.1325,0.05,0.95,"M6",1000,0.143844988828766,12.565,0.0062825,1000,205,795,1000,864,136
10,10,0.1325,0.05,0.95,"M6",1000,0.233572146909012,12.564,0.006282,1000,287,713,1000,748,252
10,10,0.1325,0.05,0.95,"M6",1000,0.379269019073225,12.588,0.006294,1000,436,564,1000,604,396
10,10,0.1325,0.05,0.95,"M6",1000,0.615848211066027,12.62,0.00631,1000,643,357,1000,395,605
10,10,0.1325,0.05,0.95,"M6",1000,1,12.612,0.00630600000000001,1000,979,21,1000,27,973
