"k","P","N","TP","FP","TN","FN","alpha","beta","model1","model2","case","ID"
1,1000,1000,474,451,549,526,0.451,0.526,"VRE","logistic","VRE_v_logistic",37
2,1000,1000,476,441,559,524,0.441,0.524,"VRE","logistic","VRE_v_logistic",37
3,1000,1000,534,452,548,466,0.452,0.466,"VRE","logistic","VRE_v_logistic",37
4,1000,1000,523,441,559,477,0.441,0.477,"VRE","logistic","VRE_v_logistic",37
5,1000,1000,524,425,575,476,0.425,0.476,"VRE","logistic","VRE_v_logistic",37
6,1000,1000,510,412,588,490,0.412,0.49,"VRE","logistic","VRE_v_logistic",37
7,1000,1000,503,412,588,497,0.412,0.497,"VRE","logistic","VRE_v_logistic",37
8,1000,1000,488,409,591,512,0.409,0.512,"VRE","logistic","VRE_v_logistic",37
9,1000,1000,478,402,598,522,0.402,0.522,"VRE","logistic","VRE_v_logistic",37
10,1000,1000,472,376,624,528,0.376,0.528,"VRE","logistic","VRE_v_logistic",37
11,1000,1000,459,374,626,541,0.374,0.541,"VRE","logistic","VRE_v_logistic",37
12,1000,1000,452,369,631,548,0.369,0.548,"VRE","logistic","VRE_v_logistic",37
13,1000,1000,448,363,637,552,0.363,0.552,"VRE","logistic","VRE_v_logistic",37
14,1000,1000,447,371,629,553,0.371,0.553,"VRE","logistic","VRE_v_logistic",37
15,1000,1000,444,369,631,556,0.369,0.556,"VRE","logistic","VRE_v_logistic",37
16,1000,1000,438,361,639,562,0.361,0.562,"VRE","logistic","VRE_v_logistic",37
17,1000,1000,421,356,644,579,0.356,0.579,"VRE","logistic","VRE_v_logistic",37
18,1000,1000,417,344,656,583,0.344,0.583,"VRE","logistic","VRE_v_logistic",37
19,1000,1000,416,344,656,584,0.344,0.584,"VRE","logistic","VRE_v_logistic",37
20,1000,1000,413,342,658,587,0.342,0.587,"VRE","logistic","VRE_v_logistic",37
21,1000,1000,408,339,661,592,0.339,0.592,"VRE","logistic","VRE_v_logistic",37
22,1000,1000,409,338,662,591,0.338,0.591,"VRE","logistic","VRE_v_logistic",37
23,1000,1000,408,332,668,592,0.332,0.592,"VRE","logistic","VRE_v_logistic",37
24,1000,1000,418,333,667,582,0.333,0.582,"VRE","logistic","VRE_v_logistic",37
25,1000,1000,418,344,656,582,0.344,0.582,"VRE","logistic","VRE_v_logistic",37
26,1000,1000,420,353,647,580,0.353,0.58,"VRE","logistic","VRE_v_logistic",37
27,1000,1000,424,354,646,576,0.354,0.576,"VRE","logistic","VRE_v_logistic",37
28,1000,1000,427,356,644,573,0.356,0.573,"VRE","logistic","VRE_v_logistic",37
29,1000,1000,437,367,633,563,0.367,0.563,"VRE","logistic","VRE_v_logistic",37
30,1000,1000,439,366,634,561,0.366,0.561,"VRE","logistic","VRE_v_logistic",37
31,1000,1000,433,361,639,567,0.361,0.567,"VRE","logistic","VRE_v_logistic",37
