"k","dist_model1","dist_model2","decision","model1","model2","case","ID"
1,3.35167444808787e-11,6.82891122255004e-06,"model1","VRE","logistic","VRE_v_logistic",20
2,6.56466402605175e-10,1.59474051254935e-05,"model1","VRE","logistic","VRE_v_logistic",20
3,1.36472384765887e-09,2.57522403070539e-05,"model1","VRE","logistic","VRE_v_logistic",20
4,2.19543647467795e-09,3.62822283731023e-05,"model1","VRE","logistic","VRE_v_logistic",20
5,3.07612959777097e-09,4.68683386712921e-05,"model1","VRE","logistic","VRE_v_logistic",20
6,4.3452710580274e-09,6.07912297883455e-05,"model1","VRE","logistic","VRE_v_logistic",20
7,5.95141033821012e-09,7.59412104502594e-05,"model1","VRE","logistic","VRE_v_logistic",20
8,7.89965419752143e-09,9.27767425996819e-05,"model1","VRE","logistic","VRE_v_logistic",20
9,9.95032444483551e-09,0.000109631498062227,"model1","VRE","logistic","VRE_v_logistic",20
10,1.26819753485661e-08,0.000127599821524169,"model1","VRE","logistic","VRE_v_logistic",20
11,1.625202299896e-08,0.000146198796072849,"model1","VRE","logistic","VRE_v_logistic",20
12,2.05510761725763e-08,0.000165028117882697,"model1","VRE","logistic","VRE_v_logistic",20
13,2.52512677339925e-08,0.000184808246980662,"model1","VRE","logistic","VRE_v_logistic",20
14,3.00087520775183e-08,0.000205271922814782,"model1","VRE","logistic","VRE_v_logistic",20
15,3.51846495983042e-08,0.00022576076236083,"model1","VRE","logistic","VRE_v_logistic",20
16,4.05955606158404e-08,0.000246633267227528,"model1","VRE","logistic","VRE_v_logistic",20
17,4.62498021133462e-08,0.000267608709269953,"model1","VRE","logistic","VRE_v_logistic",20
18,5.21717439470512e-08,0.000288812254335479,"model1","VRE","logistic","VRE_v_logistic",20
19,5.88647867668087e-08,0.000310206347256125,"model1","VRE","logistic","VRE_v_logistic",20
20,6.60901873476256e-08,0.000332420629388568,"model1","VRE","logistic","VRE_v_logistic",20
21,7.42195825726927e-08,0.000354812888610462,"model1","VRE","logistic","VRE_v_logistic",20
22,8.23682508927147e-08,0.000377205975653099,"model1","VRE","logistic","VRE_v_logistic",20
23,9.33014149728085e-08,0.000399695136251389,"model1","VRE","logistic","VRE_v_logistic",20
24,1.04605380038359e-07,0.000422413187985807,"model1","VRE","logistic","VRE_v_logistic",20
25,1.1699777914952e-07,0.00044565626815675,"model1","VRE","logistic","VRE_v_logistic",20
26,1.29498737673501e-07,0.000468946611229701,"model1","VRE","logistic","VRE_v_logistic",20
27,1.42292722704586e-07,0.000492310893843104,"model1","VRE","logistic","VRE_v_logistic",20
28,1.57693163318941e-07,0.000515915400023959,"model1","VRE","logistic","VRE_v_logistic",20
29,1.7500798994965e-07,0.000539524222018295,"model1","VRE","logistic","VRE_v_logistic",20
30,1.94293546654724e-07,0.00056321157704421,"model1","VRE","logistic","VRE_v_logistic",20
31,2.15022357190443e-07,0.000587158956105114,"model1","VRE","logistic","VRE_v_logistic",20
32,2.36595631795258e-07,0.000611298512026219,"model1","VRE","logistic","VRE_v_logistic",20
33,2.62276241236811e-07,0.000635542780434469,"model1","VRE","logistic","VRE_v_logistic",20
34,2.88923675333926e-07,0.000659797001407025,"model1","VRE","logistic","VRE_v_logistic",20
35,3.15714676508664e-07,0.000684189771577739,"model1","VRE","logistic","VRE_v_logistic",20
36,3.47401967594353e-07,0.000709251581505295,"model1","VRE","logistic","VRE_v_logistic",20
37,3.80201445316297e-07,0.000734329753145195,"model1","VRE","logistic","VRE_v_logistic",20
38,4.13578969294442e-07,0.000759496775197061,"model1","VRE","logistic","VRE_v_logistic",20
39,4.4743893935665e-07,0.000784667829672393,"model1","VRE","logistic","VRE_v_logistic",20
40,4.81321968090098e-07,0.000810099893263874,"model1","VRE","logistic","VRE_v_logistic",20
41,5.16369744553076e-07,0.000835738471135229,"model1","VRE","logistic","VRE_v_logistic",20
42,5.54415359900798e-07,0.000861390028193145,"model1","VRE","logistic","VRE_v_logistic",20
43,5.96354878741579e-07,0.000887068837309672,"model1","VRE","logistic","VRE_v_logistic",20
44,6.397258713034e-07,0.000912759926846541,"model1","VRE","logistic","VRE_v_logistic",20
45,6.93279816656946e-07,0.000938551922926914,"model1","VRE","logistic","VRE_v_logistic",20
46,7.53362436443816e-07,0.000964510294432428,"model1","VRE","logistic","VRE_v_logistic",20
47,8.16187989878758e-07,0.000990613567513478,"model1","VRE","logistic","VRE_v_logistic",20
48,8.85348930998379e-07,0.00101674062675131,"model1","VRE","logistic","VRE_v_logistic",20
49,9.55425508385596e-07,0.00104308794292259,"model1","VRE","logistic","VRE_v_logistic",20
50,1.02996970277696e-06,0.00106947543903015,"model1","VRE","logistic","VRE_v_logistic",20
51,1.10723167956741e-06,0.00109591434928624,"model1","VRE","logistic","VRE_v_logistic",20
52,1.18702424076969e-06,0.00112253104016448,"model1","VRE","logistic","VRE_v_logistic",20
53,1.2673554278146e-06,0.00114935410469138,"model1","VRE","logistic","VRE_v_logistic",20
54,1.34811740845849e-06,0.00117664029922895,"model1","VRE","logistic","VRE_v_logistic",20
55,1.43073706513357e-06,0.00120393988904695,"model1","VRE","logistic","VRE_v_logistic",20
56,1.51980074086964e-06,0.00123127062336772,"model1","VRE","logistic","VRE_v_logistic",20
57,1.61021966366225e-06,0.00125885050384712,"model1","VRE","logistic","VRE_v_logistic",20
58,1.70498851369484e-06,0.00128658578605053,"model1","VRE","logistic","VRE_v_logistic",20
59,1.80213184770341e-06,0.00131434486423694,"model1","VRE","logistic","VRE_v_logistic",20
60,1.92194485864771e-06,0.0013421554704136,"model1","VRE","logistic","VRE_v_logistic",20
61,2.04268357246225e-06,0.00136999581156434,"model1","VRE","logistic","VRE_v_logistic",20
62,2.16725731076474e-06,0.00139815320778398,"model1","VRE","logistic","VRE_v_logistic",20
63,2.29660657335084e-06,0.00142632274431,"model1","VRE","logistic","VRE_v_logistic",20
64,2.43278242050897e-06,0.00145449728367642,"model1","VRE","logistic","VRE_v_logistic",20
65,2.56934415622097e-06,0.00148269419276976,"model1","VRE","logistic","VRE_v_logistic",20
66,2.72182433121582e-06,0.00151092180618935,"model1","VRE","logistic","VRE_v_logistic",20
67,2.87566624880345e-06,0.00153941896207865,"model1","VRE","logistic","VRE_v_logistic",20
68,3.05019369401594e-06,0.00156792272352035,"model1","VRE","logistic","VRE_v_logistic",20
69,3.22515119063828e-06,0.00159647211644675,"model1","VRE","logistic","VRE_v_logistic",20
